"id","name","number_of_seasons","number_of_episodes","original_language","vote_average","overview","adult","first_air_date","last_air_date","homepage","in_production","popularity","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
130330,Light the Night,1,24,zh,8.443999999999999,"In the red light district of 1980s Taipei, women at a popular Japanese night club navigate jealousy, heartbreak, friendship and love.",False,"2021-11-27","2022-03-18",https://www.netflix.com/title/81477952,False,11.417,Scripted,Ended,"","Drama, Mystery, Crime","Tu Cheng-che, Hong Li-yen, Lin Shao-chien",zh,Netflix,TW,普通话,"Bossdom Digiinnovation, Gift Pictures",Taiwan,60
87194,Special,2,16,en,6.644,A gay man with mild cerebral palsy decides to rewrite his identity as an accident victim and finally go after the life he wants.,False,"2019-04-12","2021-05-20",https://www.netflix.com/title/80987458,False,7.824,Scripted,Ended,Living. Laughing. Limping.,Comedy,Ryan O'Connell,"en, es",Netflix,US,"English, Español","That's Wonderful Productions, Stage 13",United States of America,25
4489,Josie and the Pussycats,1,16,en,7.089,"Josie and the Pussycats is an American animated television series, based upon the Archie Comics comic book series of the same name created by Dan DeCarlo. Produced for Saturday morning television by Hanna-Barbera Productions, sixteen episodes of Josie and the Pussycats aired on CBS during the 1970-71 television season, and were rerun during the 1971-72 season. In 1972, the show was re-conceptualized as Josie and the Pussycats in Outer Space, sixteen episodes of which aired on CBS during the 1972-73 season and were rerun the following season. Reruns of the original series alternated between CBS, ABC, and NBC from 1974 through 1976. This brought its national Saturday morning TV run on three networks to six years.

Josie and the Pussycats featured an all-girl pop music band that toured the world with their entourage, getting mixed up in strange adventures, spy capers, and mysteries. On the small-screen, the group consisted of level-headed lead singer and guitarist Josie, intelligent tambourinist Valerie, and air-headed blonde drummer Melody. Other characters included their cowardly manager Alexander Cabot III, his conniving sister Alexandra, her cat Sebastian, and muscular roadie Alan.",False,"1970-09-12","1971-01-02","",False,6.912999999999999,Scripted,Ended,"","Animation, Kids, Family, Comedy","Ken Spears, Joe Ruby, Dan DeCarlo, Art Davis","en, es",CBS,US,"English, Español",Hanna-Barbera Productions,United States of America,30
42830,Moribito: Guardian of the Spirit,1,26,ja,7.733,"Balsa the spearwoman is a wandering warrior, who takes on the task of saving lives, in atonement for a past sin. On her journey, she happens to save a prince, and is tasked with becoming his bodyguard. And he is going to need one, for his own father, the emperor, wants him dead. Throughout the story, Balsa's past will come to light and they will uncover mysteries about Chagum's condition while developing a family-like relationship with each other and others.",False,"2007-04-07","2007-09-29",http://www6.nhk.or.jp/anime/program/detail.html?i=moribito,False,12.233,Scripted,Ended,"","Animation, Action & Adventure, Sci-Fi & Fantasy, Drama","",ja,NHK BS2,JP,日本語,Production I.G,Japan,25
44045,All Watched Over by Machines of Loving Grace,1,3,en,8.267,"We have been colonised by the machines we have built. Although we don't realise it, the way we see everything in the world today is through the eyes of the computers.",False,"2011-05-23","2011-06-06",http://bbc.co.uk/programmes/b011lvb9,False,2.438,Miniseries,Ended,"",Documentary,Adam Curtis,en,BBC Two,GB,English,BBC,United Kingdom,0
65851,A Good Librarian Like a Good Shepherd,1,12,ja,8.3,"Kyotaro Kakei has always had an affinity towards books in hopes to find answers to his life. With a mentor's promise, he continues to search for a book with his absolute hope. However, this changes when he receives a foretelling message saying that ""Today, something will happen that will change your fate. --From the Shepherd."" Due to this premonition, his normal school life at Shiomoi Academy becomes entangled due to the optimistic Tsugumi Shirasaki and the Shimoi Happy Project.",False,"2014-10-09","2014-12-25",http://www.daito-anime.com/,False,7.303,Scripted,Ended,"","Animation, Comedy","",ja,Tokyo MX,JP,日本語,"Hoods Entertainment, BraveHearts, TIS, DMM.com Lab, HOBIBOX, FelixFilm",Japan,24
104960,The Bad Kids,1,12,zh,8.267,"A story that follows three children from a coastal town who unintentionally film a murder scene. As the kids become involved with the suspect, it opens up a case that is far more complicated than it looks and entraps several families into an unpredictable outcome.",False,"2020-06-16","2020-06-25",https://www.iq.com/album/19rrhl1l3l,False,6.937,Scripted,Ended,"","Crime, Mystery, Drama",Xin Shuang,"cn, zh",iQiyi,CN,"广州话 / 廣州話, 普通话",iQIYI Pictures,China,48
3973,Spider-Man,1,26,en,6.767,Spider-Man is an American animated TV series based on the popular Marvel Comics character of the same name.,False,"1981-09-12","1982-03-06",https://www.disneyplus.com/series/wp/1c5hHCFuhdEf,False,9.139,Scripted,Ended,"","Animation, Kids",Steve Ditko,en,Syndication,US,English,Marvel Productions,United States of America,23
135035,Partner Track,1,10,en,7.2,"At an elite NYC law firm, Ingrid Yun fights to make partner — and hold onto her principles — while balancing romance, friends and family expectations.",False,"2022-08-26","2022-08-26",https://www.netflix.com/title/81140282,False,6.7700000000000005,Scripted,Canceled,Keep your head up.,Drama,Georgia Lee,en,Netflix,US,English,Jax Media,United States of America,46
93953,Seis Manos,1,8,en,7.0,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.",False,"2019-10-03","2019-10-03",https://www.netflix.com/title/80217066,False,4.84,Scripted,Ended,"","Action & Adventure, Animation","Álvaro Rodríguez, Brad Graeber",en,Netflix,US,English,"Powerhouse Animation Studios, VIZ Media",United States of America,27
